Database,Accounting,Table,AccountChart,,,,,,,,,,,,,,,,,,,,
AccountNumber,CurrencyCode,BranchCode,ParentAccountId,AccountLevel,IsAccountLeave,BalanceSide,ReverseBalance,PostingSide,AccountName,ShortAccountName,MultiValueName,AccountClassification,AccountCategories,AccountGroup,DirectPosting,IsVisible,IsMultiCurrency,JobProcessOption,RefAccountNumber,ReferencesNumber,CreatedOnUtc,UpdatedOnUtc,Id
1,AAA,001,,1,FALSE,D,N,A,ASSETS,ASSETS,"{""LaosName"":"""",""ThaiName"":"""",""KhmerName"":"""",""VietnameseName"":""""}",A,M,N,Y,N,Y,N,,,,,0
2,AAA,001,,1,FALSE,C,N,A,LIABILITIES & EQUITIES,LIABILITIES & EQUITIES,,L,M,N,Y,N,Y,N,,,,,0
3,AAA,001,,1,FALSE,C,N,A,INCOME,INCOME,,I,M,I,Y,N,Y,N,,,,,0
4,AAA,001,,1,FALSE,D,N,A,EXPENDITURES,EXPENDITURES,,E,M,E,Y,N,Y,N,,,,,0
5,AAA,001,,1,FALSE,B,N,A,OFF-BALANCE SHEET ASSETS,OFF-BALANCE SHEET ASSETS,,C,M,N,Y,N,Y,N,,,,,0
6,AAA,001,,1,FALSE,B,N,A,OFF-BALANCE SHEET LIABILITIES,OFF-BALANCE SHEET LIABILITIES,,M,M,N,Y,N,Y,N,,,,,0
101,AAA,001,1,2,FALSE,D,N,A,Cash and Cash Equivalents,Cash and Cash Equivalents,,A,M,N,Y,N,Y,N,,,,,0
102,AAA,001,1,2,FALSE,D,N,A,Due from Banks,Due from Banks,,A,M,N,Y,N,Y,N,,,,,0
103,AAA,001,1,2,FALSE,D,N,A,Loan and Advances,Loan and Advances,,A,M,N,Y,N,Y,N,,,,,0
104,AAA,001,1,2,FALSE,D,N,A,Investment Securities,Investment Securities,,A,M,N,Y,N,Y,N,,,,,0
105,AAA,001,1,2,FALSE,D,N,A,Deferred Tax Assets,Deferred Tax Assets,,A,M,N,Y,N,Y,N,,,,,0
106,AAA,001,1,2,FALSE,D,N,A,Investment Property,Investment Property,,A,M,N,Y,N,Y,N,,,,,0
107,AAA,001,1,2,FALSE,D,N,A,"Property, Plant and Equipments","Property, Plant and Equipments",,A,M,N,Y,N,Y,N,,,,,0
108,AAA,001,1,2,FALSE,D,N,A,Right of Use Assets,Right of Use Assets,,A,M,N,Y,N,Y,N,,,,,0
109,AAA,001,1,2,FALSE,D,N,A,Intangible Assets,Intangible Assets,,A,M,N,Y,N,Y,N,,,,,0
110,AAA,001,1,2,FALSE,D,N,A,Other Assets,Other Assets,,A,M,N,Y,N,Y,N,,,,,0
201,AAA,001,2,2,FALSE,C,N,A,Borrowings,Borrowings,,L,M,N,Y,N,Y,N,,,,,0
202,AAA,001,2,2,FALSE,C,N,A,Deposits,Deposits,,L,M,N,Y,N,Y,N,,,,,0
203,AAA,001,2,2,FALSE,C,N,A,Lease Liabilities,Lease Liabilities,,L,M,N,Y,N,Y,N,,,,,0
204,AAA,001,2,2,FALSE,C,N,A,Deferred Tax Liabilities,Deferred Tax Liabilities,,L,M,N,Y,N,Y,N,,,,,0
205,AAA,001,2,2,FALSE,C,N,A,Provisions,Provisions,,L,M,N,Y,N,Y,N,,,,,0
206,AAA,001,2,2,FALSE,C,N,A,Impairment on Financial Assets,Impairment on Financial Assets,,L,M,N,Y,N,Y,N,,,,,0
207,AAA,001,2,2,FALSE,C,N,A,Accrued and Other Liabilities,Accrued and Other Liabilities,,L,M,N,Y,N,Y,N,,,,,0
208,AAA,001,2,2,FALSE,C,N,A,Share Capital,Share Capital,,L,M,N,Y,N,Y,N,,,,,0
209,AAA,001,2,2,FALSE,C,N,A,Retained Earnings,Retained Earnings,,L,M,N,Y,N,Y,N,,,,,0
210,AAA,001,2,2,FALSE,C,N,A,Reserves,Reserves,,L,M,N,Y,N,Y,N,,,,,0
301,AAA,001,3,2,FALSE,C,N,A,Interest Income Calculated using Effective Interest Rate (EIR),Interest Income Calculated using Effective Interest Rate (EIR),,I,M,I,Y,N,Y,N,,,,,0
302,AAA,001,3,2,FALSE,C,N,A,Other Interest Income,Other Interest Income,,I,M,I,Y,N,Y,N,,,,,0
303,AAA,001,3,2,FALSE,C,N,A,Fees and Commision Income,Fees and Commision Income,,I,M,I,Y,N,Y,N,,,,,0
304,AAA,001,3,2,FALSE,C,N,A,Foreign Exchange Gain,Foreign Exchange Gain,,I,M,I,Y,N,Y,N,,,,,0
305,AAA,001,3,2,FALSE,C,N,A,Other Incomes,Other Incomes,,I,M,I,Y,N,Y,N,,,,,0
401,AAA,001,4,2,FALSE,D,N,A,Interest Expense,Interest Expense,,E,M,E,Y,N,Y,N,,,,,0
402,AAA,001,4,2,FALSE,D,N,A,Fees and Commision Expenses,Fees and Commision Expenses,,E,M,E,Y,N,Y,N,,,,,0
403,AAA,001,4,2,FALSE,D,N,A,Foreign Exchange Loss,Foreign Exchange Loss,,E,M,E,Y,N,Y,N,,,,,0
404,AAA,001,4,2,FALSE,D,N,A,Personal Expenses,Personal Expenses,,E,M,E,Y,N,Y,N,,,,,0
405,AAA,001,4,2,FALSE,D,N,A,Other Expenses,Other Expenses,,E,M,E,Y,N,Y,N,,,,,0
406,AAA,001,4,2,FALSE,D,N,A,Income Tax Expenses,Income Tax Expenses,,E,M,E,Y,N,Y,N,,,,,0
501,AAA,001,5,2,FALSE,B,N,A,Gurantees,Gurantees,,C,M,N,Y,N,Y,N,,,,,0
502,AAA,001,5,2,FALSE,B,N,A,Others,Others,,C,M,N,Y,N,Y,N,,,,,0
601,AAA,001,6,2,FALSE,B,N,A,Gurantees,Gurantees,,M,M,N,Y,N,Y,N,,,,,0
602,AAA,001,6,2,FALSE,B,N,A,Others,Others,,M,M,N,Y,N,Y,N,,,,,0
10101,AAA,001,101,3,FALSE,D,N,A,Cash and balances with Domestic Banks,Cash and balances with Domestic Banks,,A,M,N,Y,N,Y,N,,,,,0
10102,AAA,001,101,3,FALSE,D,N,A,Unrestricted balances at CBM,Unrestricted balances at CBM,,A,M,N,Y,N,Y,N,,,,,0
10103,AAA,001,101,3,FALSE,D,N,A,Vault cash at branches,Vault cash at branches,,A,M,N,Y,N,Y,N,,,,,0
10104,AAA,001,101,3,FALSE,D,N,A,Cash and balances with Foreign Banks,Cash and balances with Foreign Banks,,A,M,N,Y,N,Y,N,,,,,0
10105,AAA,001,101,3,FALSE,D,N,A,Cash in ATM,Cash in ATM,,A,M,N,Y,N,Y,N,,,,,0
10106,AAA,001,101,3,FALSE,D,N,A,Cash in Transit,Cash in Transit,,A,M,N,Y,N,Y,N,,,,,0
10107,AAA,001,101,3,FALSE,D,N,A,Cash at Money Changer,Cash at Money Changer,,A,M,N,Y,N,Y,N,,,,,0
10201,AAA,001,102,3,FALSE,D,N,A,Balances with DomesticBanks,Balances with DomesticBanks,,A,M,N,Y,N,Y,N,,,,,0
10301,AAA,001,103,3,FALSE,D,N,A,Loans,Loans,,A,M,N,Y,N,Y,N,,,,,0
10302,AAA,001,103,3,FALSE,D,N,A,Trade Finance,Trade Finance,,A,M,N,Y,N,Y,N,,,,,0
10303,AAA,001,103,3,FALSE,D,N,A,Overdraft,Overdraft,,A,M,N,Y,N,Y,N,,,,,0
10304,AAA,001,103,3,FALSE,D,N,A,Overdraft to Term Loans,Overdraft to Term Loans,,A,M,N,Y,N,Y,N,,,,,0
10401,AAA,001,104,3,FALSE,D,N,A,Myanmar Government Securities,Myanmar Government Securities,,A,M,N,Y,N,Y,N,,,,,0
10402,AAA,001,104,3,FALSE,D,N,A,Equity Investment,Equity Investment,,A,M,N,Y,N,Y,N,,,,,0
10601,AAA,001,106,3,FALSE,D,N,A,Investment Property - Land,Investment Property - Land,,A,M,N,Y,N,Y,N,,,,,0
10602,AAA,001,106,3,FALSE,D,N,A,Investment Property - Buildings,Investment Property - Buildings,,A,M,N,Y,N,Y,N,,,,,0
